ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
2013-05-31,1656952.45,2054997.0152467268,1611518.1826954023,2498099.5221061306,Fitted,1925505.81,2196877.211924995,14.0,12.439233649047654,2025-03-22 17:57:08
2013-06-30,1981714.48,1909717.5166704068,1452325.2215139146,2374412.574927579,Fitted,1754634.66,2216411.5509166527,13.0,12.85241640480071,2025-03-22 17:57:08
2013-07-31,2596199.19,2163767.860388612,1644733.8043367318,2568474.266552243,Fitted,1952435.36,2087553.3421257364,12.0,8.273159489378921,2025-03-22 17:57:08
2013-08-31,2160295.18,1765506.07575732,1309845.849885993,2219579.8677580412,Fitted,2236453.92,2115079.1487987293,8.0,9.157596773988997,2025-03-22 17:57:08
2013-09-30,1513882.32,1641414.9268431384,1157923.063592126,2090517.1748130694,Fitted,1369729.94,2329865.4549937085,8.0,12.060905853446815,2025-03-22 17:57:08
2013-10-31,1632396.88,1765792.7411026405,1325736.7616583153,2227646.3230763855,Fitted,3025887.28,2165171.5332239526,25.0,12.058138868817164,2025-03-22 17:57:08
2013-11-30,2294279.0,1888054.5137604324,1450993.4845231674,2333667.103512253,Fitted,1421532.25,2426828.238322916,11.0,11.867262100922614,2025-03-22 17:57:08
2013-12-31,2172848.61,1867239.545512501,1372557.0334543686,2352282.322230078,Fitted,1427626.49,1930301.7554661944,11.0,9.682881022977423,2025-03-22 17:57:08
2014-01-31,1644101.03,2095185.2645126232,1653594.836615711,2497486.898875479,Fitted,3507401.86,2468903.4062073273,10.0,11.596875331162726,2025-03-22 17:57:08
2014-02-28,1641647.36,1975229.7290924168,1534241.3136039134,2439054.128917483,Fitted,1841224.41,2380299.290738606,13.0,11.908634071761924,2025-03-22 17:57:08
2014-03-31,2156105.37,2029589.6861340536,1603831.1197264025,2504270.7078541717,Fitted,3266199.09,2557269.472695065,13.0,13.703858453901196,2025-03-22 17:57:08
2014-04-30,2222263.14,2175563.986482859,1687707.0424303138,2642079.4674530453,Fitted,2358043.45,2333403.4516555946,11.0,12.856361526266348,2025-03-22 17:57:08
2014-05-31,1709731.4,2059457.5301285926,1573475.0040949986,2505522.3527804883,Fitted,2031113.489,2242306.6174255367,15.0,12.909180669719499,2025-03-22 17:57:08
2014-06-30,2056515.37,1921374.6352670258,1445249.9866594952,2407844.092873503,Fitted,2094661.68,2243592.1042660982,9.0,13.368881355259617,2025-03-22 17:57:08
2014-07-31,2167779.74,2178908.8404356604,1701163.585014734,2638613.19742645,Fitted,3607457.13,2125371.4747465863,13.0,8.637185555054407,2025-03-22 17:57:08
2014-08-31,2164246.54,1768437.9580325729,1294133.614042916,2214311.986941708,Fitted,1138014.36,2153632.2542609936,5.0,9.711718820776813,2025-03-22 17:57:08
2014-09-30,1638343.97,1632129.7878915542,1193819.1586524283,2088145.7902986452,Fitted,2057333.71,2376830.484467845,13.0,12.721356638254377,2025-03-22 17:57:08
2014-10-31,1643687.01,1772933.1606191134,1300908.6900839803,2216078.989104599,Fitted,3876312.01,2219402.734417241,9.0,12.451374345233129,2025-03-22 17:57:08
2014-11-30,1801718.81,1901300.363307529,1421727.6768708003,2363238.7018088764,Fitted,1260767.63,2449306.8133129543,5.0,12.314845430729362,2025-03-22 17:57:08
2014-12-31,2229873.87,1886385.2813458005,1447961.2313330814,2353397.5434370935,Fitted,2534111.84,1961655.79273555,13.0,10.025629568863279,2025-03-22 17:57:08
2015-01-31,1652092.58,2092456.5853975434,1650621.732532253,2560635.3298267215,Fitted,1956282.453,2492682.556338992,13.0,12.261789048893721,2025-03-22 17:57:08
2015-02-28,1812800.17,1975497.1976125422,1496205.855988093,2437167.3017530646,Fitted,3181166.224,2438822.5701927077,12.0,12.36252436971364,2025-03-22 17:57:08
2015-03-31,2280071.14,2035244.3980353188,1577429.739189898,2510469.213891407,Fitted,2792862.4,2607968.4729753607,15.0,14.172530765943913,2025-03-22 17:57:08
2015-04-30,2268000.62,2184718.964802542,1744141.420196101,2641565.73887126,Fitted,2036438.798,2356257.1880771364,13.0,13.364016986971293,2025-03-22 17:57:08
2015-05-31,2296895.1,2063993.8146312623,1600380.1366750193,2562621.6255478375,Fitted,3073630.96,2287726.4469754566,13.0,13.378751487798832,2025-03-22 17:57:08
2015-06-30,2560899.1,1933166.7276115275,1410595.3834538155,2388816.3134493777,Fitted,2293476.359,2270749.6208060747,11.0,13.883602107267214,2025-03-22 17:57:08
2015-07-31,2921974.55,2193699.483815862,1711091.8833357682,2630527.8097578236,Fitted,2004424.244,2163475.7720720507,6.0,9.004084360412453,2025-03-22 17:57:08
2015-08-31,2162138.14,1771056.5626315407,1303402.09393351,2240918.944305797,Fitted,2156796.2,2192474.559331839,11.0,10.270208356566231,2025-03-22 17:57:08
2015-09-30,1539331.38,1623026.0151316384,1105589.4284204366,2090823.6561143124,Fitted,2090915.083,2423848.847087343,15.0,13.378602353713877,2025-03-22 17:57:08
2015-10-31,1933027.15,1780464.4658100416,1282937.8782442214,2231851.8368398454,Fitted,1500551.648,2273281.0217342507,3.0,12.840681921949145,2025-03-22 17:57:08
2015-11-30,1972425.92,1914679.2629091712,1459179.4464792958,2371754.785896514,Fitted,3941170.846,2471275.987130335,14.0,12.761779480450066,2025-03-22 17:57:08
2015-12-31,1992113.37,1905271.835888076,1405608.3594632312,2369180.5272497726,Fitted,1453386.65,1993241.5062221105,8.0,10.373130002900641,2025-03-22 17:57:08
2016-01-31,2221328.92,2089296.024784727,1639307.8427764187,2508914.5021952563,Fitted,2096546.766,2516796.978063172,17.0,12.929362500177982,2025-03-22 17:57:08
2016-02-29,1660954.45,1999476.507941057,1537580.08071251,2449082.082144289,Fitted,1648925.19,2418406.6615885952,10.0,12.956674952595355,2025-03-22 17:57:08
2016-03-31,1940317.92,2043226.2987588844,1572162.1825339678,2501399.0819795122,Fitted,2296818.55,2608538.4324086737,10.0,14.725967482647754,2025-03-22 17:57:08
2016-04-30,1900619.06,2181657.1002410688,1718232.5469301248,2663749.6845162264,Fitted,2330669.011,2441283.061749438,9.0,13.802269643329685,2025-03-22 17:57:08
2016-05-31,1813296.63,2074968.2963570803,1632373.024824255,2566208.337377214,Fitted,2193039.19,2305631.7404849897,18.0,13.930830508184028,2025-03-22 17:57:08
2016-06-30,1741400.85,1922551.2129800757,1528899.5475336541,2429241.1730936184,Fitted,1764802.379,2343388.4232868757,12.0,14.296241993845134,2025-03-22 17:57:08
2016-07-31,2389991.23,2172621.6686028335,1731591.095413154,2641571.690082192,Fitted,2944021.215,2204211.007978017,6.0,9.874084138612531,2025-03-22 17:57:08
2016-08-31,1360454.62,1786576.46053721,1333328.0412186733,2234779.722870742,Fitted,2234798.69,2231013.5229886617,5.0,10.570316713808507,2025-03-22 17:57:08
2016-09-30,2130952.88,1675176.3252294296,1200246.9828585933,2148530.3326307167,Fitted,1559861.258,2437163.786271382,8.0,13.359961687379569,2025-03-22 17:57:08
2016-10-31,1560746.86,1783356.5365426855,1319530.7324685366,2246693.3637291407,Fitted,1926779.928,2264799.4317460437,13.0,13.623410287699931,2025-03-22 17:57:08
2016-11-30,1751660.08,1899267.5754217329,1406279.74964283,2328319.001205408,Fitted,3566603.692,2558015.036658953,16.0,13.38142121383842,2025-03-22 17:57:08
2016-12-31,1247216.95,1872162.2458098563,1428386.7798815058,2350532.271695666,Fitted,1766605.264,2053356.2738091806,15.0,11.307282965379482,2025-03-22 17:57:08
2017-01-31,2283660.72,2121784.788714219,1684277.7750888946,2544507.566433149,Fitted,3084823.166,2599639.801023328,14.0,12.897350765922315,2025-03-22 17:57:08
2017-02-28,2065107.68,1999358.779090698,1539099.6632080453,2464503.621229321,Fitted,1569254.32,2476281.6367289233,8.0,13.416034272302511,2025-03-22 17:57:08
2017-03-31,1561699.4,2048375.9761357633,1588769.7166192762,2511663.328772391,Fitted,1270808.493,2660249.942034658,6.0,15.197792541603157,2025-03-22 17:57:08
2017-04-30,1501834.04,2190660.526303009,1697082.1275806336,2659467.908282834,Fitted,2755812.218,2464546.683802391,13.0,14.311986564082524,2025-03-22 17:57:08
2017-05-31,2452080.04,2079226.9590232072,1631904.2354472235,2552540.6348480033,Fitted,2387869.87,2351071.5248843157,21.0,14.402849557467505,2025-03-22 17:57:08
2017-06-30,1977013.09,1933937.0562595632,1476294.7933334846,2408417.8285444537,Fitted,2397063.113,2370605.8784290208,12.0,14.81617025938267,2025-03-22 17:57:08
2017-07-31,2556370.52,2187976.648874034,1740488.5459315423,2628114.3276762846,Fitted,3006947.783,2241747.6845254223,22.0,10.237055891075967,2025-03-22 17:57:08
2017-08-31,1885803.17,1789704.1131388214,1347534.37347419,2260070.0752150905,Fitted,2672625.422,2269273.506085856,9.0,11.12163572280229,2025-03-22 17:57:08
2017-09-30,1953280.92,1665602.5599304703,1202349.201119456,2116466.6988681015,Fitted,1497327.189,2484059.826688179,7.0,14.025082751082977,2025-03-22 17:57:08
2017-10-31,1746813.75,1789969.6230861982,1335573.0541978166,2246272.400662844,Fitted,2256027.323,2319365.919805861,10.0,14.022458313567865,2025-03-22 17:57:08
2017-11-30,1606243.9,1912220.991449944,1474500.6595820559,2372725.6893510767,Fitted,2090420.503,2581022.6393120363,10.0,13.831719494494877,2025-03-22 17:57:08
