ds,Actual_TOT_PAID,Prediction_TOT_PAID,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER
2024-05-31,2581158.45,2122861.7558355853,3131958.56,2614021.4937255615,17.0,17.866040711343135
2024-06-30,1704088.77,1970445.2730292215,3407866.06,2651778.1919130175,14.0,18.231452272080187
2024-07-31,2315878.7,2220516.3492417345,2726852.25,2512600.792502287,10.0,13.809294494426245
2024-08-31,1710478.78,1834471.7716771527,1792933.271,2539403.308184447,9.0,14.505527102149582
2024-09-30,1577852.82,1723072.2465318763,2967290.695,2745553.5721169375,10.0,17.295172107196656
2024-10-31,1708064.91,1831253.0883462266,2656318.21,2573189.21826316,20.0,17.55862074004371
2024-11-30,1326014.32,1947164.7373877107,3417666.784,2866404.8238256723,14.0,17.316631697659584
2024-12-31,1659811.14,1920060.038276889,2071062.16,2361746.0616475367,16.0,15.242493481727502
2025-01-31,2131294.37,2169683.2116823955,3073348.775,2908029.5895331516,19.0,16.832561314796475
2025-02-28,2398968.34,2047257.7719224747,3173980.76,2784671.425737976,18.0,17.35124484616613
2025-03-31,,2096275.5998881396,,2968639.731595968,,19.13300314313269
2025-04-30,,2238560.7606236767,,2772936.473898308,,18.24719719238552
2025-05-31,,2127127.824264374,,2659461.3155327835,,18.33806021343671
2025-06-30,,1981838.5320689294,,2678995.6696123295,,18.751380942125525
2025-07-31,,2235878.755789991,,2550137.4763073367,,14.172266598729921
2025-08-31,,1837606.8511614455,,2577663.2984664952,,15.056846455366335
2025-09-30,,1713505.908701505,,2792449.6196481697,,17.960293507753228
2025-10-31,,1837873.6029638294,,2627755.7133644596,,17.9576690951491
2025-11-30,,1960125.5820759106,,2889412.4334500385,,17.766930300183226
2025-12-31,,1939300.4938308306,,2392885.9660794097,,15.582691794263322
2026-01-31,,2167236.092956906,,2931487.632584764,,17.496828671428403
2026-02-28,,2047271.417005289,,2842883.531354406,,17.808716184010674
2026-03-31,,2101621.2541728485,,3019853.729075074,,19.604083135130004
2026-04-30,,2247585.7610951588,,2795987.7232912807,,18.756724177475185
2026-05-31,,2131469.18486695,,2704890.9048252357,,18.809685889907634
2026-06-30,,1993376.4966022829,,2706176.406892319,,19.26952454521821
2026-07-31,,2250900.581921196,,2587955.793106435,,14.537971313776138
2026-08-31,,1840419.5796682546,,2616216.588354642,,15.612647148262518
2026-09-30,,,,2839414.8337878664,,18.622422935510038
2026-10-31,,,,2681987.099471043,,18.35258321125203
2026-11-30,,,,2911891.1937153884,,18.216192266428656
