ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER,TOT_PAID_ADJUSTED,TOT_PAID_ADJUSTED_NEW_SLOPE,TOT_PAID_ADJUSTED_FINAL,BUDGET_AMT_LAG12,NBR_CASE_LAG11,TOT_PAID_ADJUSTED_LAGGED_FINAL
2014-09-30,2014,6,1638343.97,2057333.71,55,13,42,1975300.0654879888,1966357.8197556674,2152348.6436317926,1369729.94,60.0,1987224.4048241465
2014-10-31,2014,7,1643687.01,3876312.01,56,9,47,1983602.477266076,1975089.4327828872,2709602.4170400244,3025887.28,43.0,2369233.4626302044
2014-11-30,2014,8,1801718.81,1260767.63,33,5,28,2144593.6490441635,2144403.1997144492,1844123.0179294953,1421532.25,35.0,1916487.8602924317
2014-12-31,2014,9,2229873.87,2534111.84,31,13,18,2575708.0808222513,2597804.511207002,2438437.9828865277,1427626.49,67.0,2369400.6952529233
2015-01-31,2014,10,1652092.58,1956282.453,47,13,34,2000886.162600339,1993266.6150350766,2077931.8490145197,3507401.86,55.0,2606920.3929616297
2015-02-28,2014,11,1812800.17,3181166.224,56,12,44,2164553.1243784265,2165394.499532304,2596211.2146147327,1841224.41,42.0,2101975.1379044685
2015-03-31,2014,12,2280071.14,2792862.4,65,15,50,2634783.466156514,2659933.856023902,2791740.037712131,3266199.09,54.0,2860881.185355598
2015-04-30,2015,1,2268000.62,2036438.798,37,13,24,2625672.3179346016,2650351.6981360763,2358576.5251187976,2358043.45,51.0,2562607.423110353
2015-05-31,2015,2,2296895.1,3073630.96,67,13,54,2657526.169712689,2683852.2657526764,2902318.764365763,2031113.489,38.0,2390122.756312878
2015-06-30,2015,3,2560899.1,2293476.359,51,11,40,2924489.5414907765,2964616.5685978294,2693542.905174385,2094661.68,59.0,2696821.304144783
2015-07-31,2015,4,2921974.55,2004424.244,35,6,29,3288524.3632688634,3347470.524431307,2683142.6182771684,3607457.13,24.0,3096667.018545974
