ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
11/30/2023,2000769.8,1962572.239,1512694.223,2454717.715,Fitted,2878958.81,2779665.647,19,16.69694704,3/22/2025 16:08
12/31/2023,2054317.8,1953164.349,1471073.164,2456987.804,Fitted,2104117.68,2301631.182,10,14.30831201,3/22/2025 16:08
1/31/2024,2576562.57,2137188.075,1659795.01,2605050.535,Fitted,2843154.1,2825186.669,22,16.86455896,3/22/2025 16:08
2/29/2024,2389917.93,2047368.126,1586104.58,2517879.276,Fitted,3079523.66,2726796.368,22,16.89188493,3/22/2025 16:08
3/31/2024,1613714.32,2091118.537,1622160.954,2517495.44,Fitted,2926001.911,2916928.154,23,18.66117753,3/22/2025 16:08
4/30/2024,2487742.59,2229549.939,1782166.079,2678078.385,Fitted,2391873.556,2749672.799,22,17.73747977,3/22/2025 16:08
5/31/2024,2581158.45,2122861.756,1671588.05,2563841.099,Fitted,3131958.56,2614021.494,17,17.86604071,3/22/2025 16:08
6/30/2024,1704088.77,1970445.273,1506782.01,2402477.539,Fitted,3407866.06,2651778.192,14,18.23145227,3/22/2025 16:08
7/31/2024,2315878.7,2220516.349,1772032.228,2672820.961,Fitted,2726852.25,2512600.793,10,13.80929449,3/22/2025 16:08
8/31/2024,1710478.78,1834471.772,1350267.189,2300140.809,Fitted,1792933.271,2539403.308,9,14.5055271,3/22/2025 16:08
9/30/2024,1577852.82,1723072.247,1248921.513,2173176.809,Fitted,2967290.695,2745553.572,10,17.29517211,3/22/2025 16:08
10/31/2024,1708064.91,1831253.088,1357988.419,2311388.326,Fitted,2656318.21,2573189.218,20,17.55862074,3/22/2025 16:08
11/30/2024,1326014.32,1947164.737,1483411.974,2403128.089,Fitted,3417666.784,2866404.824,14,17.3166317,3/22/2025 16:08
12/31/2024,1659811.14,1920060.038,1484403.957,2398239.593,Fitted,2071062.16,2361746.062,16,15.24249348,3/22/2025 16:08
1/31/2025,2131294.37,2169683.212,1708702.196,2636377.317,Fitted,3073348.775,2908029.59,19,16.83256131,3/22/2025 16:08
2/28/2025,2398968.34,2047257.772,1626262.179,2524802.656,Fitted,3173980.76,2784671.426,18,17.35124485,3/22/2025 16:08
3/31/2025,,209,1618104.447,2528125.65,Forecast,,2968639.732,,19.13300314,3/22/2025 16:08
4/30/2025,,209,1808487.688,2699890.067,Forecast,,2772936.474,,18.24719719,3/22/2025 16:08
5/31/2025,,209,1664170.617,2589258.11,Forecast,,2659461.316,,18.33806021,3/22/2025 16:08
6/30/2025,,209,1483698.183,2393745.668,Forecast,,2678995.67,,18.75138094,3/22/2025 16:08
