Sort_Order,Code,Group,Title,Note,ToD_1,ToD_2,ToD_3,Developed_Region,Least_Dev_Country,Sub_Saharan_Africa,Country_Code,Major_Area,M_Code,Region,R_Code
133,616,Country_or_Area,Poland,,B,,,Yes,No,No,616,Europe,908,Eastern Europe,923
134,498,Country_or_Area,Republic of Moldova,(13),B,,,Yes,No,No,498,Europe,908,Eastern Europe,923
135,642,Country_or_Area,Romania,,B,,,Yes,No,No,642,Europe,908,Eastern Europe,923
136,643,Country_or_Area,Russian Federation,,B,,,Yes,No,No,643,Europe,908,Eastern Europe,923
137,703,Country_or_Area,Slovakia,,B,,,Yes,No,No,703,Europe,908,Eastern Europe,923
138,804,Country_or_Area,Ukraine,,B,,,Yes,No,No,804,Europe,908,Eastern Europe,923
139,924,Region,Northern Europe,,,,,No,No,No,,Europe,908,Northern Europe,924
140,830,Country_or_Area,Channel Islands,(14),B,,,Yes,No,No,830,Europe,908,Northern Europe,924
141,208,Country_or_Area,Denmark,,B,,,Yes,No,No,208,Europe,908,Northern Europe,924
142,233,Country_or_Area,Estonia,,B,,,Yes,No,No,233,Europe,908,Northern Europe,924
143,234,Country_or_Area,Faeroe Islands,,B,,,Yes,No,No,234,Europe,908,Northern Europe,924
144,246,Country_or_Area,Finland,(15),B,,,Yes,No,No,246,Europe,908,Northern Europe,924
145,352,Country_or_Area,Iceland,,B,,,Yes,No,No,352,Europe,908,Northern Europe,924
146,372,Country_or_Area,Ireland,,B,,,Yes,No,No,372,Europe,908,Northern Europe,924
147,833,Country_or_Area,Isle of Man,,B,,,Yes,No,No,833,Europe,908,Northern Europe,924
148,428,Country_or_Area,Latvia,,B,,,Yes,No,No,428,Europe,908,Northern Europe,924
149,440,Country_or_Area,Lithuania,,B,,,Yes,No,No,440,Europe,908,Northern Europe,924
150,578,Country_or_Area,Norway,(16),B,,,Yes,No,No,578,Europe,908,Northern Europe,924
151,752,Country_or_Area,Sweden,,B,,,Yes,No,No,752,Europe,908,Northern Europe,924
152,826,Country_or_Area,United Kingdom of Great Britain and Northern Ireland,,B,,,Yes,No,No,826,Europe,908,Northern Europe,924
153,925,Region,Southern Europe,,,,,No,No,No,,Europe,908,Southern Europe,925
154,8,Country_or_Area,Albania,,B,,,Yes,No,No,8,Europe,908,Southern Europe,925
155,20,Country_or_Area,Andorra,,C,,,Yes,No,No,20,Europe,908,Southern Europe,925
156,70,Country_or_Area,Bosnia and Herzegovina,,I,R,,Yes,No,No,70,Europe,908,Southern Europe,925
157,191,Country_or_Area,Croatia,,B,R,,Yes,No,No,191,Europe,908,Southern Europe,925
158,292,Country_or_Area,Gibraltar,,B,,,Yes,No,No,292,Europe,908,Southern Europe,925
159,300,Country_or_Area,Greece,,B,,,Yes,No,No,300,Europe,908,Southern Europe,925
160,336,Country_or_Area,Holy See,(17),I,,,Yes,No,No,336,Europe,908,Southern Europe,925
161,380,Country_or_Area,Italy,,B,,,Yes,No,No,380,Europe,908,Southern Europe,925
162,470,Country_or_Area,Malta,,B,,,Yes,No,No,470,Europe,908,Southern Europe,925
163,499,Country_or_Area,Montenegro,,B,,,Yes,No,No,499,Europe,908,Southern Europe,925
164,620,Country_or_Area,Portugal,,B,,,Yes,No,No,620,Europe,908,Southern Europe,925
165,674,Country_or_Area,San Marino,,B,,,Yes,No,No,674,Europe,908,Southern Europe,925
166,688,Country_or_Area,Serbia,(18),B,,,Yes,No,No,688,Europe,908,Southern Europe,925
167,705,Country_or_Area,Slovenia,,B,,,Yes,No,No,705,Europe,908,Southern Europe,925
168,724,Country_or_Area,Spain,(19),B,,,Yes,No,No,724,Europe,908,Southern Europe,925
169,807,Country_or_Area,The former Yugoslav Republic of Macedonia,,B,,,Yes,No,No,807,Europe,908,Southern Europe,925
170,926,Region,Western Europe,,,,,No,No,No,,Europe,908,Western Europe,926
171,40,Country_or_Area,Austria,,B,,,Yes,No,No,40,Europe,908,Western Europe,926
172,56,Country_or_Area,Belgium,,C,,,Yes,No,No,56,Europe,908,Western Europe,926
173,250,Country_or_Area,France,,B,,,Yes,No,No,250,Europe,908,Western Europe,926
174,276,Country_or_Area,Germany,,B,,,Yes,No,No,276,Europe,908,Western Europe,926
175,438,Country_or_Area,Liechtenstein,,B,,,Yes,No,No,438,Europe,908,Western Europe,926
176,442,Country_or_Area,Luxembourg,,B,,,Yes,No,No,442,Europe,908,Western Europe,926
177,492,Country_or_Area,Monaco,,B,,,Yes,No,No,492,Europe,908,Western Europe,926
178,528,Country_or_Area,Netherlands,,B,,,Yes,No,No,528,Europe,908,Western Europe,926
179,756,Country_or_Area,Switzerland,,B,,,Yes,No,No,756,Europe,908,Western Europe,926
180,904,Major_Area,Latin America and the Caribbean,,,,,No,No,No,,Major_Area,904,Latin America and the Caribbean,904
181,915,Region,Caribbean,,,,,No,No,No,,Latin America and the Caribbean,904,Caribbean,915
182,660,Country_or_Area,Anguilla,,B,,,No,No,No,660,Latin America and the Caribbean,904,Caribbean,915
183,28,Country_or_Area,Antigua and Barbuda,,B,,,No,No,No,28,Latin America and the Caribbean,904,Caribbean,915
184,533,Country_or_Area,Aruba,,B,,,No,No,No,533,Latin America and the Caribbean,904,Caribbean,915
185,44,Country_or_Area,Bahamas,,B,,,No,No,No,44,Latin America and the Caribbean,904,Caribbean,915
186,52,Country_or_Area,Barbados,,B,,,No,No,No,52,Latin America and the Caribbean,904,Caribbean,915
187,535,Country_or_Area,"Bonaire, Sint Eustatius and Saba",(20),B,,,No,No,No,535,Latin America and the Caribbean,904,Caribbean,915
188,92,Country_or_Area,British Virgin Islands,,B,,,No,No,No,92,Latin America and the Caribbean,904,Caribbean,915
189,136,Country_or_Area,Cayman Islands,,C,,,No,No,No,136,Latin America and the Caribbean,904,Caribbean,915
190,192,Country_or_Area,Cuba,,B,,,No,No,No,192,Latin America and the Caribbean,904,Caribbean,915
191,531,Country_or_Area,Curaçao,,B,,,No,No,No,531,Latin America and the Caribbean,904,Caribbean,915
192,212,Country_or_Area,Dominica,,B,,,No,No,No,212,Latin America and the Caribbean,904,Caribbean,915
193,214,Country_or_Area,Dominican Republic,,B,,,No,No,No,214,Latin America and the Caribbean,904,Caribbean,915
194,308,Country_or_Area,Grenada,,B,,,No,No,No,308,Latin America and the Caribbean,904,Caribbean,915
195,312,Country_or_Area,Guadeloupe,(21),B,,,No,No,No,312,Latin America and the Caribbean,904,Caribbean,915
196,332,Country_or_Area,Haiti,,B,,,No,Yes,No,332,Latin America and the Caribbean,904,Caribbean,915
197,388,Country_or_Area,Jamaica,,B,,,No,No,No,388,Latin America and the Caribbean,904,Caribbean,915
198,474,Country_or_Area,Martinique,,B,,,No,No,No,474,Latin America and the Caribbean,904,Caribbean,915
199,500,Country_or_Area,Montserrat,,B,,,No,No,No,500,Latin America and the Caribbean,904,Caribbean,915
200,630,Country_or_Area,Puerto Rico,,B,,,No,No,No,630,Latin America and the Caribbean,904,Caribbean,915
201,659,Country_or_Area,Saint Kitts and Nevis,,B,,,No,No,No,659,Latin America and the Caribbean,904,Caribbean,915
