Code,Year,Gender,Table_5,Table_6_RoC
344,2000-05,T,0.3867248399449997,-11.31017161600016
446,2000-05,T,2.967715565123674,
408,2000-05,T,2.054242465541944,
392,2000-05,T,3.537786300954162,-16.719500840096263
496,2000-05,T,6.706103238532292,
410,2000-05,T,13.747531267954887,35.0994094394292
920,2000-05,T,5.610745581831772,-19.904109457055625
96,2000-05,T,0.44061205731980413,
116,2000-05,T,-4.954366056568576,31.777844573357
360,2000-05,T,-0.18828925320720688,-117.08461484040049
418,2000-05,T,-1.4912739672261695,
458,2000-05,T,5.979959278548637,-14.068474813549377
104,2000-05,T,-3.3187590001346736,
608,2000-05,T,-4.2290927953449815,-7.893623276061325
702,2000-05,T,4.709685548277279,
764,2000-05,T,10.846438484689616,-8.666441236193457
626,2000-05,T,1.2504071396266785,
704,2000-05,T,-1.83907881408247,-36.39603471607807
5501,2000-05,T,-2.148280165787725,-8.510689401356327
4,2000-05,T,2.7941964920774924,
50,2000-05,T,3.328012571533882,31.58472627350711
64,2000-05,T,4.51644454006606,
356,2000-05,T,-1.5821245748912964,-2.514088088177536
364,2000-05,T,-1.749759068893966,-11.094558155345076
462,2000-05,T,10.168470175014921,
524,2000-05,T,-1.1007266763697867,0.6624931409582596
586,2000-05,T,-5.533598725698628,-6.718041123926858
144,2000-05,T,-0.30430675690247416,38.1213141943482
922,2000-05,T,3.0889888542373884,0.5017855327818065
51,2000-05,T,-6.76392952973485,1.8575676093473028
31,2000-05,T,-1.609099120722142,-53.330831744263804
48,2000-05,T,10.469731176784066,77.90708097914789
196,2000-05,T,7.61214028041801,31.943797890206138
268,2000-05,T,-1.7980336963216146,-10.158706318790797
368,2000-05,T,-9.197891694973608,-9.498269524094864
376,2000-05,T,0.40841750155753714,-6.526927447302019
400,2000-05,T,3.749905778762962,0.7947055788783097
414,2000-05,T,3.351007384793255,-15.357586759423919
422,2000-05,T,1.7634685136343322,0.302693528906207
512,2000-05,T,1.3201583217972113,
634,2000-05,T,11.711554805349522,-3.818470965270547
682,2000-05,T,4.22614496063117,72.05689515393068
275,2000-05,T,-0.6338440364301774,4.1900007881617745
760,2000-05,T,1.0334701194233042,2.101779506799708
792,2000-05,T,0.5888128468858933,-5.735160879059604
784,2000-05,T,5.8685853247251725,-39.61080433977154
887,2000-05,T,3.5158034920852668,2.5467063599458664
908,2000-05,T,2.6008751378200543,-7.804307575945657
923,2000-05,T,-0.6781714735067236,-8.392019134885176
112,2000-05,T,-0.29775925576930445,5.855457919905256
100,2000-05,T,6.85097773133734,15.08052099906797
203,2000-05,T,7.580393304620175,0.699122650901287
348,2000-05,T,4.223879018410872,5.183154757932297
616,2000-05,T,-2.6591541166034944,32.801611387872626
498,2000-05,T,-7.078536298499319,11.30471817184346
642,2000-05,T,2.6812985829503106,1.298637092821562
643,2000-05,T,-0.3949723331487081,-56.5561312767093
703,2000-05,T,2.289558607922305,-6.621567662427777
804,2000-05,T,-1.8042574031221643,-2.7843895114682096
924,2000-05,T,3.872225886232419,-3.5970029715564964
830,2000-05,T,1.9654672488691434,
208,2000-05,T,3.4274532363497077,-12.732295823184502
233,2000-05,T,-1.3092897940311532,48.3367949373007
234,2000-05,T,4.867325947912106,
246,2000-05,T,6.884575466007538,-10.522135319458506
352,2000-05,T,9.450976789993902,-17.560278952157198
372,2000-05,T,10.379904482342676,9.075189886950337
833,2000-05,T,1.229558184209185,
428,2000-05,T,-2.653671964333083,36.48719217775454
440,2000-05,T,-1.2616812447608459,46.61025796495021
578,2000-05,T,4.220345066765489,-6.2762277801657955
752,2000-05,T,2.293884112560105,-17.119723329970167
826,2000-05,T,4.508313757189562,5.236703601811591
925,2000-05,T,9.31182439995067,-27.430242015798896
8,2000-05,T,-3.389454304445189,-31.775281239343045
20,2000-05,T,3.5365106821750847,
70,2000-05,T,-11.246879464252071,-14.053108697618951
191,2000-05,T,-0.20694500398003055,-40.5277224793778
292,2000-05,T,2.6845911915367235,
300,2000-05,T,1.3737671380900152,-21.28523865351884
336,2000-05,T,0.15189946434889537,
380,2000-05,T,12.45431008371689,10.88294287306863
470,2000-05,T,2.641798013269877,43.81627364837343
499,2000-05,T,,
620,2000-05,T,3.3738515659097565,-6.900549440662536
674,2000-05,T,0.8375906309225571,
688,2000-05,T,-0.2736541030415139,-19.00317139102753
705,2000-05,T,2.8566989867899686,-51.20909454971295
724,2000-05,T,18.151342804417496,-23.400918191957782
807,2000-05,T,0.3161135076540515,-39.52817751889132
926,2000-05,T,2.1788334371424902,-6.282244962976527
40,2000-05,T,2.6241988695714236,-3.9275722470528103
56,2000-05,T,0.40582961832806563,-4.583467324178986
250,2000-05,T,1.4107591782447901,-0.4865584097844504
276,2000-05,T,2.71313748670074,-7.871859769059498
438,2000-05,T,3.9862689705146885,11.25653207042325
442,2000-05,T,1.4978343620152101,16.015931646470264
492,2000-05,T,-0.4408633457243642,
528,2000-05,T,2.1864357392315372,-6.437509759563409
756,2000-05,T,2.784912712406756,-6.437242069321059
904,2000-05,T,1.897432515344254,-0.5392404784725078
915,2000-05,T,1.131602943743018,-4.3914891491116865
660,2000-05,T,2.8446165745976226,
28,2000-05,T,1.3977073787171324,
533,2000-05,T,1.556240969995113,
44,2000-05,T,4.474937391657742,-13.40067944422613
52,2000-05,T,1.4910031310363563,
535,2000-05,T,1.260789172372662,
92,2000-05,T,2.7103958854771655,
136,2000-05,T,2.351389638387829,
192,2000-05,T,-0.9128762293203729,-5.8290593955677705
531,2000-05,T,,
212,2000-05,T,4.847017336096891,
214,2000-05,T,1.115087323324313,1.5947178188727964
308,2000-05,T,0.2243776720957649,
312,2000-05,T,1.3652666717754753,
332,2000-05,T,3.301258381091352,
388,2000-05,T,-0.5180332634379989,-4.209742297846613
474,2000-05,T,0.9118735865725194,
500,2000-05,T,0.5377105949206499,
630,2000-05,T,-0.16369286296014823,
659,2000-05,T,2.587847337050318,
662,2000-05,T,3.005266987080262,
670,2000-05,T,0.404518501303336,
534,2000-05,T,,
780,2000-05,T,1.4140931138745312,
796,2000-05,T,1.963601113013097,
850,2000-05,T,0.012714334073499563,
916,2000-05,T,4.480801242776756,-11.63231140856372
84,2000-05,T,2.537539671995652,-57.64176041217469
188,2000-05,T,2.8280486023349454,7.819025868648717
222,2000-05,T,2.5463977110709095,-3.522200994459549
320,2000-05,T,3.4757093362262332,-13.858197867839946
340,2000-05,T,-0.41608998597133257,3.7571716792346574
484,2000-05,T,5.616166303086252,-40.4750878587584
558,2000-05,T,2.7784350947264125,-10.382134123428125
591,2000-05,T,6.864123077111382,34.26438602589337
931,2000-05,T,1.3902836256257014,25.34706477791594
32,2000-05,T,1.6549281326743774,1.8419221182801655
68,2000-05,T,3.0170405745191142,5.354192366041085
76,2000-05,T,-1.3915758005194316,
152,2000-05,T,8.657074368348894,12.34227488712647
170,2000-05,T,-0.36774644515883737,-0.5910428006235477
218,2000-05,T,4.25058571371051,42.78487092553894
238,2000-05,T,1.7745623121736844,
254,2000-05,T,2.4107568875500647,
328,2000-05,T,4.657967462489238,
600,2000-05,T,-0.9704644870516902,19.46944037939708
604,2000-05,T,3.1344503561033714,1.0764765152877003
740,2000-05,T,4.040497088454571,9.822446522744334
858,2000-05,T,-1.5319216856002529,11.646911100282853
