C_Sort_Order,Country_or_Area,Note,Country_Code,Type_of_Data,T1_T_1990,T1_T_1995,T1_T_2000,T1_T_2005,T1_T_2010,T1_T_2015,T1_M_1990,T1_M_1995,T1_M_2000,T1_M_2005,T1_M_2010,T1_M_2015,T1_F_1990,T1_F_1995,T1_F_2000,T1_F_2005,T1_F_2010,T1_F_2015,Group
81,"China, Macao Special Administrative Region",(7),446,B,205047,224929,240791,279308,318506.0,342703.0,96379,103660,109391,130387,146407.0,155692.0,108668,121269,131400,148921,172099.0,187011.0,Country_or_Area
82,Democratic People's Republic of Korea,,408,I,34103,35143,36183,40097,44010.0,48458.0,17393,17562,17731,19749,21766.0,24110.0,16710,17581,18452,20348,22244.0,24348.0,Country_or_Area
83,Japan,,392,C,1075626,1381097,1686567,2012916,2134151.0,2043877.0,547986,672482,796977,924544,959860.0,919259.0,527640,708615,889590,1088372,1174291.0,1124618.0,Country_or_Area
84,Mongolia,,496,C,6718,7424,8206,11475,16061.0,17620.0,3419,3959,4564,7576,11880.0,12857.0,3299,3465,3642,3899,4181.0,4763.0,Country_or_Area
85,Republic of Korea,,410,C,43017,123886,244178,485546,919275.0,1327324.0,24211,70758,143181,284034,525031.0,744777.0,18806,53128,100997,201512,394244.0,582547.0,Country_or_Area
86,South-Eastern Asia,,920,,2876616,3700057,4926833,6522343,8661853.0,9867722.0,1511104,1916620,2504609,3343951,4497075.0,5118389.0,1365512,1783437,2422224,3178392,4164778.0,4749333.0,Region
87,Brunei Darussalam,,96,B,73200,84748,96296,98441,100587.0,102733.0,41856,47832,53807,55265,56723.0,58181.0,31344,36916,42489,43176,43864.0,44552.0,Country_or_Area
88,Cambodia,,116,B,38375,92230,146085,114031,81977.0,73963.0,19084,45361,71638,57511,43385.0,39854.0,19291,46869,74447,56520,38592.0,34109.0,Country_or_Area
89,Indonesia,,360,B R,465612,378960,292307,289568,305416.0,328846.0,229885,191600,153315,165493,174864.0,189800.0,235727,187360,138992,124075,130552.0,139046.0,Country_or_Area
90,Lao People's Democratic Republic,,418,C R,22866,23526,21948,20371,21185.0,22244.0,11806,12199,11564,10930,11367.0,11936.0,11060,11327,10384,9441,9818.0,10308.0,Country_or_Area
91,Malaysia,(8),458,C R,695920,937368,1277223,1722344,2406011.0,2514243.0,405808,534964,712912,995607,1437206.0,1529630.0,290112,402404,564311,726737,968805.0,984613.0,Country_or_Area
92,Myanmar,,104,C,133545,113663,98011,83025,76414.0,73308.0,72310,61489,52150,44506,41574.0,40177.0,61235,52174,45861,38519,34840.0,33131.0,Country_or_Area
93,Philippines,,608,C R,154071,207345,318095,257468,208599.0,211862.0,81347,107524,161904,133023,107933.0,109783.0,72724,99821,156191,124445,100666.0,102079.0,Country_or_Area
94,Singapore,,702,B,727262,991492,1351691,1710594,2164794.0,2543638.0,345842,456411,601671,758762,956856.0,1122986.0,381420,535081,750020,951832,1207938.0,1420652.0,Country_or_Area
95,Thailand,,764,B R,528693,809720,1257821,2163447,3224131.0,3913258.0,283486,426290,647728,1086166,1624755.0,1967491.0,245207,383430,610093,1077281,1599376.0,1945767.0,Country_or_Area
96,Timor-Leste,,626,B,8954,9743,10602,11286,10983.0,10834.0,4450,4763,5095,5582,6441.0,6383.0,4504,4980,5507,5704,4542.0,4451.0,Country_or_Area
97,Viet Nam,,704,C R,28118,51262,56754,51768,61756.0,72793.0,15230,28187,32825,31106,35971.0,42168.0,12888,23075,23929,20662,25785.0,30625.0,Country_or_Area
98,Southern Asia,,5501,,19436343,15343019,15278020,13722011,14326591.0,14103682.0,10601061,8382298,8414610,7537840,7953646.0,7699380.0,8835282,6960721,6863410,6184171,6372945.0,6404302.0,Region
99,Afghanistan,,4,B,57686,71522,75917,87300,102246.0,382365.0,32558,39105,42848,49274,57709.0,193445.0,25128,32417,33069,38026,44537.0,188920.0,Country_or_Area
100,Bangladesh,,50,B R,881617,934735,987853,1166700,1345546.0,1422805.0,759452,805196,850941,1007698,1164455.0,1233206.0,122165,129539,136912,159002,181091.0,189599.0,Country_or_Area
101,Bhutan,,64,B,23807,27972,32137,40279,48420.0,51106.0,19409,22804,26200,32742,39283.0,41441.0,4398,5168,5937,7537,9137.0,9665.0,Country_or_Area
102,India,,356,B R,7493204,6952238,6411272,5923642,5436012.0,5240960.0,3914396,3608978,3303560,3045693,2787826.0,2684680.0,3578808,3343260,3107712,2877949,2648186.0,2556280.0,Country_or_Area
103,Iran (Islamic Republic of),,364,B R,4291601,2937668,2803805,2568930,2761561.0,2726420.0,2456700,1705972,1662264,1410319,1571723.0,1445236.0,1834901,1231696,1141541,1158611,1189838.0,1281184.0,Country_or_Area
104,Maldives,,462,C R,8689,18510,27092,45045,73604.0,94086.0,4777,9243,14907,27079,47995.0,66140.0,3912,9267,12185,17966,25609.0,27946.0,Country_or_Area
105,Nepal,,524,B R,429974,690225,717900,679457,578657.0,518278.0,125966,217088,241959,235203,189518.0,160851.0,304008,473137,475941,444254,389139.0,357427.0,Country_or_Area
106,Pakistan,,586,B R,6208204,3669308,4181912,3171132,3941586.0,3628956.0,3264380,1951223,2249960,1708514,2074443.0,1854136.0,2943824,1718085,1931952,1462618,1867143.0,1774820.0,Country_or_Area
107,Sri Lanka,,144,B R,41561,40841,40132,39526,38959.0,38706.0,23423,22689,21971,21318,20694.0,20245.0,18138,18152,18161,18208,18265.0,18461.0,Country_or_Area
